AIRLINE,CANCELLATION_REASON,no_cancelled,n,PERCENTAGE_CANCELLED
AA,Airline/Carrier,63,12265,0.5136567468406034
AA,Weather,106,12265,0.8642478597635549
AA,National Air System,1,12265,0.008153281695882593
AS,Airline/Carrier,1,694,0.1440922190201729
DL,Airline/Carrier,204,327107,0.06236491423295741
DL,Weather,1189,327107,0.3634896226616979
DL,National Air System,56,327107,0.017119780377674584
EV,Airline/Carrier,270,66499,0.4060211431750853
EV,Weather,473,66499,0.7112888915622791
EV,National Air System,51,66499,0.07669288259973833
F9,Airline/Carrier,20,6846,0.292141396435875
F9,Weather,9,6846,0.13146362839614373
MQ,Airline/Carrier,50,2101,2.379819133745835
MQ,Weather,61,2101,2.9033793431699193
MQ,National Air System,53,2101,2.5226082817705855
NK,Airline/Carrier,29,6764,0.4287403903015967
NK,Weather,42,6764,0.6209343583678296
NK,National Air System,15,6764,0.22176227084565345
OO,Airline/Carrier,23,2996,0.7676902536715621
OO,Weather,65,2996,2.1695594125500666
OO,National Air System,11,2996,0.36715620827770357
UA,Airline/Carrier,59,5520,1.0688405797101448
UA,Weather,72,5520,1.3043478260869565
UA,National Air System,5,5520,0.09057971014492754
US,Airline/Carrier,21,4859,0.43218769294093434
US,Weather,58,4859,1.1936612471701995
US,National Air System,2,4859,0.041160732661041366
WN,Airline/Carrier,292,64349,0.4537755054468601
WN,Weather,522,64349,0.8112014172714417
WN,National Air System,47,64349,0.07303920806850145
AS,National Air System,0,0,0
AS,Weather,0,0,0
F9,National Air System,0,0,0
